framework,pattern,calls,fwtot,label
langchain_together,.generate,0,1,langchain_together  .generate
langchain_together,.predict,0,1,langchain_together  .predict
langchain_together,.predict_messages,0,1,langchain_together  .predict_messages
langchain_together,.run,0,1,langchain_together  .run
langchain_together,.stream,0,1,langchain_together  .stream
langchain_together,.stream_events,0,1,langchain_together  .stream_events
langchain_together,.transform,0,1,langchain_together  .transform
langchain_together,.invoke,1,1,langchain_together  .invoke
openlit,.trace,0,1,openlit  .trace
openlit,.init,1,1,openlit  .init
langchain_aws,.abatch,0,2,langchain_aws  .abatch
langchain_aws,.agenerate,0,2,langchain_aws  .agenerate
langchain_aws,.ainvoke,0,2,langchain_aws  .ainvoke
langchain_aws,.apredict,0,2,langchain_aws  .apredict
langchain_aws,.apredict_messages,0,2,langchain_aws  .apredict_messages
langchain_aws,.arun,0,2,langchain_aws  .arun
langchain_aws,.astream,0,2,langchain_aws  .astream
langchain_aws,.astream_events,0,2,langchain_aws  .astream_events
langchain_aws,.atransform,0,2,langchain_aws  .atransform
langchain_aws,.batch,0,2,langchain_aws  .batch
langchain_aws,.call,0,2,langchain_aws  .call
langchain_aws,.generate,0,2,langchain_aws  .generate
langchain_aws,.predict,0,2,langchain_aws  .predict
langchain_aws,.predict_messages,0,2,langchain_aws  .predict_messages
langchain_aws,.run,0,2,langchain_aws  .run
langchain_aws,.stream,0,2,langchain_aws  .stream
langchain_aws,.stream_events,0,2,langchain_aws  .stream_events
langchain_aws,.transform,0,2,langchain_aws  .transform
langchain_aws,.acall,1,2,langchain_aws  .acall
langchain_aws,.invoke,1,2,langchain_aws  .invoke
langchain_anthropic,.abatch,0,3,langchain_anthropic  .abatch
langchain_anthropic,.acall,0,3,langchain_anthropic  .acall
langchain_anthropic,.agenerate,0,3,langchain_anthropic  .agenerate
langchain_anthropic,.ainvoke,0,3,langchain_anthropic  .ainvoke
langchain_anthropic,.apredict,0,3,langchain_anthropic  .apredict
langchain_anthropic,.apredict_messages,0,3,langchain_anthropic  .apredict_messages
langchain_anthropic,.arun,0,3,langchain_anthropic  .arun
langchain_anthropic,.astream,0,3,langchain_anthropic  .astream
langchain_anthropic,.astream_events,0,3,langchain_anthropic  .astream_events
langchain_anthropic,.atransform,0,3,langchain_anthropic  .atransform
langchain_anthropic,.batch,0,3,langchain_anthropic  .batch
langchain_anthropic,.call,0,3,langchain_anthropic  .call
langchain_anthropic,.generate,0,3,langchain_anthropic  .generate
langchain_anthropic,.predict,0,3,langchain_anthropic  .predict
langchain_anthropic,.predict_messages,0,3,langchain_anthropic  .predict_messages
langchain_anthropic,.run,0,3,langchain_anthropic  .run
langchain_anthropic,.stream,0,3,langchain_anthropic  .stream
langchain_anthropic,.stream_events,0,3,langchain_anthropic  .stream_events
langchain_anthropic,.transform,0,3,langchain_anthropic  .transform
langchain_anthropic,.invoke,3,3,langchain_anthropic  .invoke
swarm,.run,3,3,swarm  .run
honcho,.create,1,4,honcho  .create
honcho,.chat,3,4,honcho  .chat
langchain_cohere,.abatch,0,4,langchain_cohere  .abatch
langchain_cohere,.acall,0,4,langchain_cohere  .acall
langchain_cohere,.agenerate,0,4,langchain_cohere  .agenerate
langchain_cohere,.ainvoke,0,4,langchain_cohere  .ainvoke
langchain_cohere,.apredict,0,4,langchain_cohere  .apredict
langchain_cohere,.apredict_messages,0,4,langchain_cohere  .apredict_messages
langchain_cohere,.arun,0,4,langchain_cohere  .arun
langchain_cohere,.astream,0,4,langchain_cohere  .astream
langchain_cohere,.astream_events,0,4,langchain_cohere  .astream_events
langchain_cohere,.atransform,0,4,langchain_cohere  .atransform
langchain_cohere,.batch,0,4,langchain_cohere  .batch
langchain_cohere,.call,0,4,langchain_cohere  .call
langchain_cohere,.generate,0,4,langchain_cohere  .generate
langchain_cohere,.predict,0,4,langchain_cohere  .predict
langchain_cohere,.predict_messages,0,4,langchain_cohere  .predict_messages
langchain_cohere,.run,0,4,langchain_cohere  .run
langchain_cohere,.stream,0,4,langchain_cohere  .stream
langchain_cohere,.stream_events,0,4,langchain_cohere  .stream_events
langchain_cohere,.transform,0,4,langchain_cohere  .transform
langchain_cohere,.invoke,4,4,langchain_cohere  .invoke
langchain_experimental,.abatch,0,4,langchain_experimental  .abatch
langchain_experimental,.acall,0,4,langchain_experimental  .acall
langchain_experimental,.agenerate,0,4,langchain_experimental  .agenerate
langchain_experimental,.ainvoke,0,4,langchain_experimental  .ainvoke
langchain_experimental,.apredict,0,4,langchain_experimental  .apredict
langchain_experimental,.apredict_messages,0,4,langchain_experimental  .apredict_messages
langchain_experimental,.arun,0,4,langchain_experimental  .arun
langchain_experimental,.astream,0,4,langchain_experimental  .astream
langchain_experimental,.astream_events,0,4,langchain_experimental  .astream_events
langchain_experimental,.atransform,0,4,langchain_experimental  .atransform
langchain_experimental,.batch,0,4,langchain_experimental  .batch
langchain_experimental,.call,0,4,langchain_experimental  .call
langchain_experimental,.generate,0,4,langchain_experimental  .generate
langchain_experimental,.predict,0,4,langchain_experimental  .predict
langchain_experimental,.predict_messages,0,4,langchain_experimental  .predict_messages
langchain_experimental,.stream,0,4,langchain_experimental  .stream
langchain_experimental,.stream_events,0,4,langchain_experimental  .stream_events
langchain_experimental,.transform,0,4,langchain_experimental  .transform
langchain_experimental,.invoke,1,4,langchain_experimental  .invoke
langchain_experimental,.run,3,4,langchain_experimental  .run
livekit,.arun,0,4,livekit  .arun
